x_m,y_m,theta_rad
0.000000,0.000000,0.170965
0.417110,0.072014,0.170806
0.837651,0.144484,0.169863
1.258405,0.216310,0.168026
1.677098,0.286875,0.165689
2.092080,0.355718,0.162788
2.502277,0.422403,0.159106
2.906915,0.486469,0.154575
3.305559,0.547570,0.149269
3.697706,0.605394,0.143081
4.082825,0.659547,0.135708
4.459833,0.709461,0.126600
4.827101,0.754279,0.114756
5.181266,0.792615,0.099050
5.520669,0.823203,0.078624
5.845550,0.844951,0.052758
6.155552,0.856729,0.020779
6.450932,0.857533,-0.017923
6.731848,0.846399,-0.063930
6.998455,0.822482,-0.117606
7.250916,0.785071,-0.179106
7.489376,0.733602,-0.248168
7.714034,0.667721,-0.323841
7.925111,0.587345,-0.404491
8.122868,0.492700,-0.487913
8.307666,0.384319,-0.571556
8.480002,0.263003,-0.652866
8.640539,0.129758,-0.729596
8.790097,-0.014281,-0.800025
8.929634,-0.167920,-0.863076
9.060190,-0.329968,-0.918269
9.182852,-0.499271,-0.965594
9.298704,-0.674739,-1.005381
9.408799,-0.855362,-1.038149
9.514139,-1.040206,-1.064496
9.615662,-1.228416,-1.085031
9.714235,-1.419204,-1.100317
9.810661,-1.611842,-1.110836
9.905682,-1.805653,-1.116965
10.000000,-2.000000,-1.118971
