x_m,y_m,theta_rad
10.000000,-2.000000,2.030147
9.900991,-1.799836,2.032167
9.801358,-1.600443,2.038334
9.700453,-1.402631,2.048895
9.597594,-1.207226,2.064177
9.492051,-1.015077,2.084596
9.383041,-0.827054,2.110643
9.269727,-0.644056,2.142864
9.151215,-0.467013,2.181805
9.026566,-0.296893,2.227968
8.894802,-0.134693,2.281710
8.754923,0.018561,2.343130
8.605926,0.161831,2.411940
8.446838,0.294079,2.487309
8.276757,0.414300,2.567758
8.094891,0.521575,2.651190
7.900576,0.615145,2.735065
7.693267,0.694478,2.816721
7.472514,0.759318,2.893722
7.237923,0.809714,2.964151
6.989134,0.846002,3.026821
6.725873,0.868742,3.081324
6.447819,0.878665,3.127785
6.154443,0.876633,3.166566
5.845215,0.863613,3.198188
5.520491,0.840716,3.223502
5.180972,0.809083,3.243545
4.826535,0.769719,3.259169
4.458563,0.723752,3.271128
4.080106,0.672485,3.280395
3.692918,0.616791,3.287877
3.298787,0.557369,3.294085
2.898474,0.494696,3.299349
2.492694,0.429136,3.303834
2.082051,0.361064,3.307503
1.667433,0.290947,3.310442
1.250011,0.219224,3.312853
0.831406,0.146352,3.314766
0.413765,0.072943,3.315837
0.000000,0.000000,3.316090
