x_m,y_m,theta_rad
-15.000000,-12.000000,1.077669
-14.788552,-11.606544,1.078391
-14.576734,-11.211033,1.080097
-14.364427,-10.812728,1.082380
-14.151944,-10.411588,1.085207
-13.939616,-10.007758,1.088416
-13.727722,-9.601447,1.091840
-13.516483,-9.192921,1.095353
-13.306088,-8.782475,1.098977
-13.096818,-8.370465,1.102974
-12.889029,-7.956990,1.107615
-12.683108,-7.542077,1.113104
-12.479556,-7.125704,1.119749
-12.279040,-6.707825,1.127879
-12.082362,-6.288359,1.137821
-11.890434,-5.867098,1.149790
-11.704189,-5.443807,1.164376
-11.524933,-5.017849,1.182363
-11.354384,-4.589009,1.203537
-11.193884,-4.157343,1.227341
-11.044463,-3.722411,1.253573
-10.907145,-3.283964,1.281850
-10.782703,-2.841851,1.311479
-10.671599,-2.396083,1.341550
-10.573850,-1.946825,1.371010
-10.489004,-1.494325,1.398842
-10.416158,-1.038822,1.424162
-10.354050,-0.580586,1.446348
-10.301196,-0.119825,1.465095
-10.256028,0.343314,1.480404
-10.217029,0.808770,1.492729
-10.183081,1.275821,1.502523
-10.153092,1.743801,1.510111
-10.126198,2.212003,1.516002
-10.101750,2.679852,1.520680
-10.079309,3.146825,1.524441
-10.058490,3.612415,1.527234
-10.038786,4.076460,1.528783
-10.019540,4.538963,1.528823
-10.000000,5.000000,1.528439
