time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,2.9032258064516157,18.0,0.0,0.0,1019.3512675907111,0.18965900171889205,1.4819428726866337,0.0
0.01,2.9032258064516157,18.0,0.0,-0.0,1.4752478276181222,0.18965900171889205,1.4819428726866337,0.0
0.02,2.9032258064516157,18.0,0.0,-0.0,1.4752737723768266,0.07297188896911275,1.3641370966686537,0.0
0.03,2.9032258064516157,18.0,0.0,-0.0,1019.351330856639,0.015243017815107451,1.3052652259308606,0.0
0.04,2.9032258064516157,18.0,0.0,-0.0,1019.3514497022315,-0.03836990786728389,1.2467119201975096,0.0005043330281640681
0.05,2.9032258064516157,18.0,0.0,-0.0,1019.3538946211181,0.030978736738543844,1.1751005231835066,-0.002043756549442616
0.06,2.9032258064516157,18.0,0.0,-0.0,1019.356196143755,-0.02092776483457337,1.131883834339095,-0.0029287300709880766
0.07,2.9032258064516157,18.0,0.0,-0.0,1.4836684720071702,0.0009952891136474351,1.081658424562053,-0.004702028805017
0.08,2.9032258064516157,18.0,0.0,-0.0,1019.363611051452,-0.015921475996357626,1.0386397240519833,-0.007154846704889073
0.09,2.9032258064516157,18.0,0.0,-0.0,1.4923339539509786,-0.011813542085191364,0.993064794008501,-0.010197788686568907
0.1,2.9032258064516157,18.0,0.0,-0.0,1.4977324256089195,-0.015766387268326687,0.9493701012295349,-0.013599235968500373
0.11,2.9032258064516157,18.0,0.0,-0.0,1019.3798309379354,-0.01795752219591895,0.9059541452288876,-0.0171182909381558
0.12,2.9032258064516157,18.0,0.0,-0.0,1019.3865727129103,-0.020516216333160475,0.8632160911551973,-0.020902296551552457
0.13,2.9032258064516157,18.0,0.0,-0.0,1019.3939639542597,-0.02319631419874746,0.8211783309927941,-0.024938247559749212
0.14,2.9032258064516157,18.0,0.0,-0.0,1019.4019901257099,-0.02598602869212202,0.7799118523971287,-0.029194549392223632
0.15,2.9032258064516157,18.0,0.0,-0.0,1019.4106351952696,-0.028892899563332464,0.7394997560818783,-0.033636090928145616
0.16,2.9032258064516157,18.0,0.0,-0.0,1019.4198814094229,-0.031929129291282554,0.7000341639856476,-0.038230131337024
0.17,2.9032258064516157,18.0,0.0,-0.0,1019.4297092997484,-0.035100349289303,0.6616133679541667,-0.04294691763983416
0.18,2.9032258064516157,18.0,0.0,-0.0,1019.4400979061556,-0.03839554226776215,0.6243387804205347,-0.047759503697436416
0.19,2.9032258064516157,18.0,0.0,-0.0,1019.4510249026204,-0.041793218331016235,0.5883146668771091,-0.05265295924613068
0.2,2.9032258064516157,18.0,0.0,-0.0,1019.4624662216027,-0.0452891734377307,0.5536507672048094,-0.05762565843787794
0.21,2.9032258064516157,18.0,0.0,-0.0,1019.4743958573226,-0.04889097060201886,0.5204569757335697,-0.06267109246318489
0.22,2.9032258064516157,18.0,0.0,-0.0,1019.4867867533808,-0.05256554062014751,0.4888300292202552,-0.06778000305682837
0.23,2.9032258064516157,18.0,0.0,-0.0,1019.4996140438255,-0.05613480684259814,0.4588152631748881,-0.07273275321161829
0.24,2.9032258064516157,18.0,0.0,-0.0,1019.5128459698748,-0.05987228127266031,0.43055687111363694,-0.07770297267291995
0.25,2.9032258064516157,18.0,0.0,-0.0,1019.5264518803098,-0.06367327560911074,0.404092422998791,-0.0826681536258711
