time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,-7.0434782608695645,-18.0,0.0,0.0,729.0913360511214,-0.5636836542548571,-1.5015619151244224,0.0
0.01,-7.0434782608695645,-18.0,0.0,0.0,729.0913360392494,-0.5244465246247653,-1.4623240660544472,0.0
0.02,-7.0434782608695645,-18.0,0.0,0.0,729.0913353982497,-0.4852410290557227,-1.4230804453446793,0.0
0.03,-7.0434782608695645,-18.0,0.0,0.0,729.0913339842305,-0.44604388619421975,-1.383836457494664,0.0
0.04,-7.0434782608695645,-18.0,0.0,0.0,729.0913316178581,-0.4068572193315744,-1.3445920780355012,0.0
0.05,-7.0434782608695645,-18.0,0.0,0.0,729.0913280754409,-0.36768371516922177,-1.3053473055519365,0.0
0.06,-7.0434782608695645,-18.0,0.0,0.0,729.0913230774327,-0.3285268015617715,-1.2661021831315282,0.0
0.07,-7.0434782608695645,-18.0,0.0,0.0,729.0913162731829,-0.2893909121488949,-1.226856835484473,0.0
0.08,-7.0434782608695645,-18.0,0.0,0.0,729.0913072197897,-0.2502819093989696,-1.1876115346385534,0.0
0.09,-7.0434782608695645,-18.0,0.0,0.0,729.091295350822,-0.21120781978320852,-1.1483668212089069,-3.141561352778832
0.1,-7.0434782608695645,-18.0,0.0,0.0,729.0912799258045,-0.17218023888114492,-1.1091237436978736,-3.141550236488333
0.11,-7.0434782608695645,-18.0,0.0,0.0,729.0912599387409,-0.13321733469937425,-1.0698843795117496,-3.141536111268974
0.12,-7.0434782608695645,-18.0,0.0,0.0,729.0912339257746,-0.09435126698318863,-1.0306531420972131,-3.1415180589668465
0.13,-7.0434782608695645,-18.0,0.0,0.0,729.0911994646616,-0.0556509102490057,-0.9914408276649305,-3.141494197351455
0.14,-7.0434782608695645,-18.0,0.0,0.0,729.0911512837916,-0.017323858885655352,-0.9522823590391606,-3.1414569384311033
0.15,-7.0434782608695645,-18.0,0.0,0.0,729.091061149061,0.019009164273006807,-0.9134069319220119,-3.141253181166523
0.16,-7.0434782608695645,-18.0,0.0,0.0,729.0894642151347,-0.02512120261070505,-0.8662252675455147,-3.1395727182998683
0.17,-7.0434782608695645,-18.0,0.0,0.0,729.0879780351819,0.011108451026879185,-0.8367073047010035,-3.1376868052186286
