time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,2.3478260869565233,18.0,0.0,0.0,876.1909898774954,0.16173582816790086,1.5015619151244224,0.0
0.01,2.3478260869565233,18.0,0.0,0.0,876.1909899547799,0.12250227181233843,1.4623236753294944,0.0
0.02,2.3478260869565233,18.0,0.0,0.0,876.1909986722692,0.0837345629865576,1.4230323700897174,0.0
0.03,2.3478260869565233,18.0,0.0,0.0,876.1910194690556,0.04518246863752984,1.3837482703389243,0.0
0.04,2.3478260869565233,18.0,0.0,0.0,876.1910607428763,0.0071769508903429535,1.3445018443108017,0.0
0.05,2.3478260869565233,18.0,0.0,0.0,876.1912200880423,-0.024549503637703307,1.3056202662587617,0.0018168839241811442
0.06,2.3478260869565233,18.0,0.0,0.0,876.1928802292896,0.0196714339056778,1.2588929612745745,-0.0003860058729459303
0.07,2.3478260869565233,18.0,0.0,0.0,876.1944721001635,-0.013670378119498033,1.2296883338787268,-0.0006483049060967099
0.08,2.3478260869565233,18.0,0.0,0.0,876.1968538566916,0.00044536143647280757,1.1959370027890541,-0.0015525677843938339
0.09,2.3478260869565233,18.0,0.0,0.0,876.1995501231133,-0.009887837292378299,1.1665445045114538,-0.0033571684914363957
0.1,2.3478260869565233,18.0,0.0,0.0,876.2027906441301,-0.007781578499864827,1.1356689348387121,-0.005369817618263163
0.11,2.3478260869565233,18.0,0.0,0.0,876.2064889370067,-0.01000256166556851,1.1057069769653571,-0.0077432710630245954
0.12,2.3478260869565233,18.0,0.0,0.0,876.2106584241111,-0.011336298960936325,1.075818869468328,-0.01036848769631247
0.13,2.3478260869565233,18.0,0.0,0.0,876.2152932410182,-0.012790741977573766,1.0461654404077878,-0.013185324558636755
0.14,2.3478260869565233,18.0,0.0,0.0,876.2203884557902,-0.014310602036931103,1.016745469738579,-0.016153067447640987
0.15,2.3478260869565233,18.0,0.0,0.0,876.2259390298199,-0.01589182192177907,0.9875694788347495,-0.019306958302041488
0.16,2.3478260869565233,18.0,0.0,0.0,876.2319401204844,-0.017512355049852435,0.9586476376380433,-0.022657483264331223
0.17,2.3478260869565233,18.0,0.0,0.0,876.2383867668731,-0.019164834841353673,0.9299944809607474,-0.026194801446315308
0.18,2.3478260869565233,18.0,0.0,0.0,876.2452737444484,-0.020847881561380843,0.9016273643359713,-0.029902188991291326
0.19,2.3478260869565233,18.0,0.0,0.0,876.2525954631438,-0.022563951154649126,0.8735659828572959,-0.033760120972038364
0.2,2.3478260869565233,18.0,0.0,0.0,876.2603458556179,-0.024319889973373116,0.8458324130592582,-0.03775058893121078
0.21,2.3478260869565233,18.0,0.0,0.0,876.2685183369155,-0.026123145427568356,0.8184505748946036,-0.04186229578820572
0.22,2.3478260869565233,18.0,0.0,0.0,876.2771058855335,-0.027975433373942538,0.7914452073274523,-0.04608998788029971
0.23,2.3478260869565233,18.0,0.0,0.0,876.2861011186249,-0.02987318640217773,0.7648417752197549,-0.050429147058634875
0.24,2.3478260869565233,18.0,0.0,0.0,876.2954962677927,-0.031812910729152044,0.7386671366582174,-0.054872910977760626
0.25,2.3478260869565233,18.0,0.0,0.0,876.3052830947719,-0.033794517259111145,0.7129498547606504,-0.05941142868096303
0.26,2.3478260869565233,18.0,0.0,0.0,876.3154528338385,-0.03582018651762603,0.6877197130015067,-0.06403191909990258
0.27,2.3478260869565233,18.0,0.0,0.0,876.3259962406779,-0.037889100942737786,0.6630065315517775,-0.0687195596167577
0.28,2.3478260869565233,18.0,0.0,0.0,876.3369037515613,-0.039991781354878075,0.6388391460714862,-0.07346181760940441
0.29,2.3478260869565233,18.0,0.0,0.0,876.3481655226399,-0.042116039999988975,0.6152467195962819,-0.07825589231392814
0.3,2.3478260869565233,18.0,0.0,0.0,876.3597711855857,-0.044261991819714575,0.5922609206220235,-0.08310491117873639
0.31,2.3478260869565233,18.0,0.0,0.0,876.3717096758386,-0.0464394526890462,0.5699141249431965,-0.08800622186600404
0.32,2.3478260869565233,18.0,0.0,0.0,876.3839692209607,-0.04866080134207712,0.5482368512168831,-0.09294522197291666
0.33,2.3478260869565233,18.0,0.0,0.0,876.3965377008402,-0.05092542420176793,0.527250782055275,-0.097861362850902
0.34,2.3478260869565233,18.0,0.0,0.0,876.4094052850345,-0.053094637358500896,0.5069558474231002,-0.10275592354937643
0.35,2.3478260869565233,18.0,0.0,0.0,876.422559939335,-0.055255736417303636,0.4873982999270854,-0.10768942279587343
0.36,2.3478260869565233,18.0,0.0,0.0,876.4359890698246,-0.05742064380668338,0.4686001354794189,-0.1126515442111599
0.37,2.3478260869565233,18.0,0.0,0.0,876.4496803283537,-0.059563960221390044,0.45057185987069004,-0.1176249929482327
0.38,2.3478260869565233,18.0,0.0,0.0,876.4636217380697,-0.06165943796322465,0.43331722020277974,-0.12257041839298201
0.39,2.3478260869565233,18.0,0.0,0.0,876.4778002296114,-0.06375758958264,0.4168519099506005,-0.12746451850484514
0.4,2.3478260869565233,18.0,0.0,0.0,876.4922024922289,-0.0658648333906674,0.40118413894467797,-0.13232910821197955
0.41,2.3478260869565233,18.0,0.0,0.0,876.5068158012657,-0.06795079598161785,0.3863087633457365,-0.13716746811037955
0.42,2.3478260869565233,18.0,0.0,0.0,876.5216279601807,-0.06999256065618215,0.3722166960483655,-0.1419702706889807
0.43,2.3478260869565233,18.0,0.0,0.0,876.5366271023537,-0.07198083830048668,0.35889723297259435,-0.14672505237965372
0.44,2.3478260869565233,18.0,0.0,0.0,876.5518015592974,-0.07391566383114273,0.34633833234154165,-0.15142351887206285
0.45,2.3478260869565233,18.0,0.0,0.0,876.5671399559056,-0.07579457200451584,0.3345246804879136,-0.1560623839192448
0.46,2.3478260869565233,18.0,0.0,0.0,876.5826313713793,-0.07760952538158289,0.3234367838708798,-0.1606388498401231
0.47,2.3478260869565233,18.0,0.0,0.0,876.5982654055888,-0.07935162902255566,0.31305198483931274,-0.16514847094181054
0.48,2.3478260869565233,18.0,0.0,0.0,876.6140321697035,-0.08101453912736128,0.3033456424758012,-0.1695859091584413
0.49,2.3478260869565233,18.0,0.0,0.0,876.6299222651937,-0.08259457151632582,0.2942917287339606,-0.17394622269436316
0.5,2.3478260869565233,18.0,0.0,0.0,876.6459267849023,-0.08408921422209215,0.2858629783982334,-0.17822537767350288
0.51,2.3478260869565233,18.0,0.0,0.0,876.6620373288945,-0.08549611654505318,0.2780310044796326,-0.1824199783328555
0.52,2.3478260869565233,18.0,0.0,0.0,876.6782460140754,-0.08681316074450696,0.2707666042474688,-0.18652687358504902
0.53,2.3478260869565233,18.0,0.0,0.0,876.6945454686204,-0.08803896125978328,0.2640401802709791,-0.19054304050371162
0.54,2.3478260869565233,18.0,0.0,0.0,876.7109288154595,-0.08917314238238228,0.2578221261240279,-0.1944656944269384
0.55,2.3478260869565233,18.0,0.0,0.0,876.727389652303,-0.09021626300376095,0.2520831112351347,-0.19829242977443082
0.56,2.3478260869565233,18.0,0.0,0.0,876.7439220322387,-0.09116957942026144,0.2467942834320389,-0.20202127639615197
0.57,2.3478260869565233,18.0,0.0,0.0,876.7605204448032,-0.09203485195902311,0.24192743358779123,-0.2056506734791731
0.58,2.3478260869565233,18.0,0.0,0.0,876.7771797958482,-0.09281426511681173,0.23745514851678529,-0.2091794167676924
0.59,2.3478260869565233,18.0,0.0,0.0,876.7938953852379,-0.09351041794621723,0.2333509519962027,-0.21260662232558286
0.6,2.3478260869565233,18.0,0.0,0.0,876.810662882732,-0.09412631661497467,0.22958942219573508,-0.2159317158322459
0.61,2.3478260869565233,18.0,0.0,0.0,876.8274783031467,-0.0946653328640143,0.2261462769641298,-0.21915443470021717
0.62,2.3478260869565233,18.0,0.0,0.0,876.8443379818616,-0.09513113017128089,0.22299842666211722,-0.22227482751495073
0.63,2.3478260869565233,18.0,0.0,0.0,876.8612385513077,-0.09552757833115305,0.2201240001917526,-0.22529324283546426
0.64,2.3478260869565233,18.0,0.0,0.0,876.878176918622,-0.09585867625288963,0.2175023514596961,-0.22821030777371437
0.65,2.3478260869565233,18.0,0.0,0.0,876.895150244408,-0.09612849229988102,0.21511405202349376,-0.23102690120394118
0.66,2.3478260869565233,18.0,0.0,0.0,876.9121559224994,-0.09634112132382316,0.21294087329076072,-0.23374412666386293
0.67,2.3478260869565233,18.0,0.0,0.0,876.9291915606954,-0.09650065240639155,0.21096575987697053,-0.2363632879450376
0.68,2.3478260869565233,18.0,0.0,0.0,876.9462549625242,-0.09661114110998709,0.20917279501442332,-0.2388858680710456
0.69,2.3478260869565233,18.0,0.0,0.0,876.9633441101402,-0.0966765824711619,0.20754715895925901,-0.2413135108929865
0.7,2.3478260869565233,18.0,0.0,0.0,876.9804571484483,-0.09670088378984537,0.20607508169142918,-0.24364800407250148
0.71,2.3478260869565233,18.0,0.0,0.0,876.9975923705153,-0.09668783820466614,0.2047437914879795,-0.24589126245575407
0.72,2.3478260869565233,18.0,0.0,0.0,877.0147482042637,-0.09664110079037352,0.20354146101752413,-0.24804531134991178
0.73,2.3478260869565233,18.0,0.0,0.0,877.0319232003986,-0.09656416872365331,0.20245715245783824,-0.250112269705829
