time,wheel_l,wheel_r,roll,pitch,yaw,beta_l,beta_r,alpha
0.0,-16.838709677419356,0.0,9.08994983974712e-07,0.07500000034858666,3.141604784892755,-1.4355203009557065,-0.0014576555639955213,0.0
0.001,-16.838709677419356,0.0018001800180018,2.666427809447557e-06,0.07500000032730708,3.1416282393126553,-1.4300362877015518,-0.0026620659720831153,0.0
0.002,-16.838709677419356,0.0036003600360036,5.214777371936714e-06,0.07500000023677195,3.1416622491819677,-1.424690552391027,-0.003540855583036416,0.0
0.003,-16.838709677419356,0.0054005400540054005,8.501267819586207e-06,0.07500000000837594,3.1417061101626005,-1.4194811171170356,-0.004130316240800672,0.0
0.004,-16.838709677419356,0.0072007200720072,1.2486369789519008e-05,0.07499999955680828,3.1417592947020885,-1.4143759744488587,-0.004505271437538991,0.0
0.005,-16.838709677419356,0.009000900090009001,1.7136538753548345e-05,0.07499999878275067,3.1418213551207534,-1.409365220314434,-0.004704083940986404,0.0
0.006,-16.838709677419356,0.010801080108010801,2.2415127157969546e-05,0.07499999757668722,3.1418918023266076,-1.40447067211723,-0.004723545845681082,0.0
0.007,-16.838709677419356,0.012601260126012601,2.829021456808034e-05,0.07499999582062962,3.1419702103152685,-1.3996875404762248,-0.004596991386024596,3.140924196852569
0.008,-16.838709677419356,0.0144014401440144,3.474319338528134e-05,0.07499999338603777,3.1420563307536304,-1.3949799387888624,-0.004395900078862466,3.1404867520754625
0.009,-16.838709677419356,0.016201620162016202,4.1762654664898156e-05,0.07499999013334839,3.14215001138102,-1.39033080498372,-0.004161266082005894,3.1407070474244736
0.01,-16.838709677419356,0.018001800180018002,4.934056782111288e-05,0.07499998591210777,3.142251145024209,-1.3857371482763765,-0.003917344795093651,0.0
0.011,-16.838709677419356,0.019801980198019802,5.7467994576084315e-05,0.07499998056291567,3.1423596123965183,-1.381205367796921,-0.0036632152373206467,0.0
0.012,-16.838709677419356,0.021602160216021602,6.613196142372761e-05,0.07499997392091128,3.142475240358269,-1.376750677093693,-0.0033815477845628985,0.0
0.013,-16.838709677419356,0.023402340234023402,7.531835148767883e-05,0.07499996581623815,3.142597840511112,-1.3723815486487239,-0.0030715941630924306,3.1410919220643483
0.014,-16.838709677419356,0.025202520252025202,8.502077805531891e-05,0.07499995606678206,3.1427273276229077,-1.3680728343849835,-0.0027705492714218205,3.140373270068492
0.015,-16.838709677419356,0.027002700270027002,9.523611083545855e-05,0.07499994447916836,3.1428636599219533,-1.3638089772400352,-0.002489119039541344,3.1398307668265266
0.016,-16.838709677419356,0.0288028802880288,0.00010596260688351774,0.07499993084933217,3.1430068141526966,-1.3595814720515935,-0.002229987553613428,3.1395143195516892
0.017,-16.838709677419356,0.0306030603060306,0.00011719920229279103,0.07499991496272997,3.14315677612285,-1.3553854499453701,-0.0019937628443065184,3.1393984509096646
0.018,-16.838709677419356,0.032403240324032405,0.0001289451583772838,0.07499989659449677,3.1433135359814983,-1.3512181062143434,-0.0017802636878297595,3.139433096871111
0.019,-16.838709677419356,0.034203420342034205,0.00014119972465313405,0.07499987550983961,3.143477083721402,-1.3470777528942652,-0.001587707660137563,3.1395738952946615
0.02,-16.838709677419356,0.036003600360036005,0.0001539618180127793,0.07499985146469992,3.143647404897399,-1.342963338773017,-0.00141236173749359,3.139786906803927
0.021,-16.838709677419356,0.037803780378037805,0.0001672298585942912,0.07499982420642544,3.1438244784360396,-1.338874408593905,-0.0012497652216083822,3.14004048209278
0.022,-16.838709677419356,0.039603960396039604,0.00018100183949311448,0.07499979347413062,3.144008277566048,-1.3348105299459896,-0.0010960425346255164,3.140308467375231
0.023,-16.838709677419356,0.041404140414041404,0.0001952754471648357,0.07499975899890786,3.1441987714252986,-1.3307712676934382,-0.0009482864656821205,3.140572359078257
0.024,-16.838709677419356,0.043204320432043204,0.00021004812046266212,0.07499972050410272,3.144395925848826,-1.326756744719022,-0.0008046240133140884,3.1408090596520464
0.025,-16.838709677419356,0.045004500450045004,0.0002253170716660026,0.07499967770565542,3.1445997036495683,-1.32276655388467,-0.0006628218100362625,3.1410096884927423
0.026,-16.838709677419356,0.046804680468046804,0.00024107929408546442,0.07499963031248057,3.1448100647199673,-1.3188014240927897,-0.000521843924176927,3.14115344127078
0.027,-16.838709677419356,0.048604860486048604,0.0002573314513601947,0.07499957802723829,3.145026964554639,-1.3148621737723394,-0.0003798512079134916,3.1412226834892567
