time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,-18.0,0.0,1.2135140121196077e-06,0.09999999468274814,0.0,-1.5351724434298557,-0.0017018093950927201
0.001,-18.0,0.0018001800180018,3.5775589429467865e-06,0.09999999465413952,0.0,-1.5298767316117141,-0.0032009636740751492
0.002,-18.0,0.0036003600360036,7.0314798817412865e-06,0.09999999453089477,0.0,-1.5246651935913493,-0.0044179490286837785
0.003,-18.0,0.0054005400540054005,1.152381633235053e-05,0.09999999421578992,0.0,-1.5195266858504035,-0.005397154273907606
0.004,-18.0,0.0072007200720072,1.7011060965261614e-05,0.09999999358490783,0.0,-1.5144512343307739,-0.0061766408401055465
0.005,-18.0,0.009000900090009001,2.3454701120159572e-05,0.09999999249116094,0.0,-1.509434096501833,-0.00678183302481752
0.006,-18.0,0.010801080108010801,3.081826174707798e-05,0.09999999076760971,-3.140573466343376,-1.504476593076889,-0.007226358401584683
0.007,-18.0,0.012601260126012601,3.9064573752807604e-05,0.09999998823117937,-3.140706907411252,-1.4995863127017568,-0.00751361390948118
0.008,-18.0,0.0144014401440144,4.815716778334803e-05,0.09999998468573007,0.0,-1.4947678154158932,-0.007652386068233666
0.009,-18.0,0.016201620162016202,5.8067934761839166e-05,0.09999997992130522,3.140473042000342,-1.4900083893877902,-0.007680457584004758
0.01,-18.0,0.018001800180018002,6.877618782392434e-05,0.09999997371353553,3.1397003683921523,-1.4852961907715148,-0.00763081348318602
0.011,-18.0,0.019801980198019802,8.026669236508507e-05,0.09999996582325259,3.1393124243389074,-1.4806227959895217,-0.0075279610151402845
0.012,-18.0,0.021602160216021602,9.252798303907064e-05,0.09999995599631051,3.1392756437750124,-1.4759829249122063,-0.007389385958602584
0.013,-18.0,0.023402340234023402,0.00010555118616175763,0.09999994396352553,3.1395038132398994,-1.4713735453951187,-0.007227709703218848
0.014,-18.0,0.025202520252025202,0.00011932924408436627,0.09999992944067021,3.1399014816210222,-1.4667931100773766,-0.007052353860395156
0.015,-18.0,0.027002700270027002,0.00013385646979175426,0.099999912128416,3.1403842213646977,-1.4622409383613668,-0.006870916735512118
0.016,-18.0,0.0288028802880288,0.00014912838188385315,0.09999989171208169,3.140878796444623,-1.4577169488091335,-0.006690599182889819
