time,wheel_l,wheel_r,roll,pitch,alpha,beta_l,beta_r
0.0,18.0,0.0,-1.2135140121440599e-06,0.09999999468274814,0.0,1.5332137118990483,-0.0002569221357147538
0.001,18.0,0.0018001800180018,-3.6219119190796924e-06,0.09999999465360307,0.0,1.5259398722856097,-0.0001598223113641718
0.002,18.0,0.0036003600360036,-7.199714505031441e-06,0.09999999452435725,0.0,1.5187355211432843,-0.00014712303795610243
0.003,18.0,0.0054005400540054005,-1.1926267298810467e-05,0.09999999418489947,0.0,1.5115941919676983,-0.00019615035768630226
0.004,18.0,0.0072007200720072,-1.7784475507491663e-05,0.09999999348786641,0.0,1.504510384772417,-0.0002909044891482094
0.005,18.0,0.009000900090009001,-2.4760086791829024e-05,0.09999999225003837,0.0,1.497479247427544,-0.0004190696293540653
0.006,18.0,0.010801080108010801,-3.284109793872655e-05,0.0999999902533826,0.0,1.4904966716922363,-0.0005711695981720132
0.007,18.0,0.012601260126012601,-4.201726858185043e-05,0.09999998724586162,0.0004934617856486401,1.483559260327551,-0.0007399541667855625
0.008,18.0,0.0144014401440144,-5.227983518142882e-05,0.09999998294204507,0.0008957228338790991,1.4766638264249012,-0.0009196901960191422
0.009,18.0,0.016201620162016202,-6.36209645095444e-05,0.09999997702373782,0.0013267944959042767,1.469808095985601,-0.0011070323781092967
0.01,18.0,0.018001800180018002,-7.603346611167874e-05,0.09999996914057362,0.0017705741129482196,1.4629901115267565,-0.001300055459878301
0.011,18.0,0.019801980198019802,-8.951074407825822e-05,0.09999995891048837,0.002224809686199213,1.4562077938206712,-0.0014972471125196745
0.012,18.0,0.021602160216021602,-0.00010404661191778227,0.09999994592024723,0.002681892079394503,1.449459524440599,-0.0016977522141709861
0.013,18.0,0.023402340234023402,-0.00011963508614217314,0.09999992972605803,0.0031274095163152473,1.4427442843805822,-0.0019013627953862865
0.014,18.0,0.025202520252025202,-0.00013627049699023843,0.09999990985393274,0.0035599433118460623,1.4360607162640855,-0.0021075403750952662
0.015,18.0,0.027002700270027002,-0.00015394755154331371,0.09999988579996695,0.003983692429235114,1.4294072764933985,-0.0023155513435972296
0.016,18.0,0.0288028802880288,-0.00017266127027065005,0.09999985703069393,0.004399944645985245,1.422782632462833,-0.0025248341986456096
0.017,18.0,0.0306030603060306,-0.00019240667673174207,0.09999982298387364,0.004797462676885822,1.4161863528286833,-0.002735800149145368
0.018,18.0,0.032403240324032405,-0.0002131788724099824,0.09999978306886177,0.005170911338152132,1.4096178546540357,-0.002948559850879499
0.019,18.0,0.034203420342034205,-0.00023497318496540205,0.09999973666672622,0.005524229262586266,1.4030760673125244,-0.0031628160583484495
